conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
df61128d-85d0-49d8-a55e-86703f29a0bf,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:37:56.397919,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,3491,7238,27.161,27.156,1125,1262,2387,7238,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f5835063-6a52-4c87-bddb-8c4ac9a7bac5,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:38:06.910460,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"Agent apologized for the inconvenience, assured the customer that they will look into the issue, and provided a solution by asking the customer to wait for 15 days for the product details and track details. The agent also requested the customer to reach out if they don't receive any details after 15 days.",3879,7506,9.499,9.498,1199,1288,2487,7506,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf1a397b-609b-45d2-b8c1-142cc7e77906,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:38:43.162388,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"Agent assured the customer that they will help with the query, provided the foreclosure amount, and informed the customer about the process and time for receiving the NOC. The agent also requested feedback and ended the call politely.",4407,7844,35.24,35.239,1292,1343,2635,7844,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d03cc846-81f6-4a3d-972a-6bc84e738656,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:38:53.604065,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not provide any statement that assured the customer that the issue would be resolved promptly or that they would personally ensure the issue is taken care of. Instead, the agent informed the customer that the issue has been raised to the internal team and they are working on it, and the customer should wait for the tenth of October for an update.",5208,8811,9.431,9.43,1439,1524,2963,8811,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ebc71356-5ccd-4ed5-846a-692401c05997,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:39:06.356019,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"Agent repeatedly apologizes for the inconvenience and assures the customer that they will do their best to help. The agent also provides updates on the progress and timeline for resolution, and offers to create a new ticket for the issue with the Hariram voucher.",31096,34664,11.735,11.731,6025,6100,12125,34664,0.1,512,Token counts are estimates (API doesn't provide exact counts)
db6bfca6-9e9e-48e6-88d1-1bd306fd6bc6,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:39:18.694874,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent provided multiple assurances to the customer, such as 'I assure you, we will handle this matter promptly.', 'You can rest assured that we are working on this right now.', 'We are committed to resolving this for you as quickly as possible.', 'I will get back to you as soon as possible', 'We take this matter seriously and will address it immediately.', 'We are here to help and will make sure this is resolved for you.', 'We appreciate your patience and will resolve this as quickly as possible.'",7663,11318,11.332,11.331,1947,2039,3986,11318,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf8bc6da-1be5-4af0-82ef-5d5d6c2fbb2a,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:39:52.178551,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,2424,6065,32.472,32.472,968,1090,2058,6065,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d32e992f-1915-4170-98d2-2df58b762151,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:40:05.796679,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent assured the customer by saying 'Ok, I will get back to you as soon as possible', 'I assure you, we will handle this matter promptly', 'We are committed to resolving this for you as quickly as possible', 'I will personally ensure that this issue is taken care of', 'We take this matter seriously and will address it immediately', 'We are here to help and will make sure this is resolved for you', 'We appreciate your patience and will resolve this as quickly as possible', 'I will keep you updated on the progress and next steps'.",5090,8778,12.614,12.614,1469,1569,3038,8778,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f1748575-58a5-4456-8615-81eaa69dd226,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:40:12.553788,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not provide any assurance or a sense of being helpful and objective. Instead, the agent ended the call due to the lack of response from the customer.",601,3922,5.747,5.747,602,637,1239,3922,0.1,512,Token counts are estimates (API doesn't provide exact counts)
e39ded3d-8e8d-415f-835e-8c8b20648c78,type2a,REASSURANCE,Reassurance,Server5_Base_Mistral,2025-10-11T16:40:20.194475,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"Agent assured the customer that the issue would be resolved and provided a timeline for the update, showing a sense of assurance and commitment to resolving the issue.",1894,5210,6.632,6.631,849,880,1729,5210,0.1,512,Token counts are estimates (API doesn't provide exact counts)
