conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type1_conv_0,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:14:51.880048,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements for putting the call on hold. Instead, the agent discussed the customer's issue and provided solutions.",7639,10707,5.233,5.233,1885,1946,3831,10707,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_1,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:14:57.416496,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent discussed the issue with the customer and provided updates.",2549,5519,4.529,4.529,898,939,1837,5519,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_2,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:15:27.062824,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent asked the customer to wait for a moment several times.",2847,5762,28.644,28.643,997,1030,2027,5762,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_3,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:16:02.661183,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements for putting the call on hold. Instead, the agent asked the customer to wait for 48 hours and provided updates about the auto debit process.",3510,6466,34.591,34.591,1122,1161,2283,6466,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_4,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:16:17.200766,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"Yes yes, no problem. Ok, शुक्रिया शुक्रिया nan nan nan nan nan नहीं nan शुक्रिया line पर बने रहने के लिए चंद्र जी मैं माफ़ी चाहती हूं लंबे hold के लिए. मुझे थोड़ा समय लग रहा है product की details देखने में.",5935,8957,13.535,13.534,1655,1708,3363,8957,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_5,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:16:24.875712,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to put the call on hold.,937,3874,6.669,6.669,612,652,1264,3874,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_6,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:16:38.802399,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent requested for feedback and connected the call to a feedback IVR.",1461,4386,12.925,12.925,711,745,1456,4386,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_7,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:16:47.715730,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent discussed the issue at length and provided information about the situation.",3821,6757,7.908,7.907,1181,1215,2396,6757,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_8,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:16:54.783948,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to put the call on hold.,4539,7380,6.062,6.061,1391,1411,2802,7380,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_9,type1,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:17:04.057477,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent continued the conversation while discussing the issue with the customer.",6186,9121,8.268,8.267,1590,1623,3213,9121,0.1,512,Token counts are estimates (API doesn't provide exact counts)
