conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
df61128d-85d0-49d8-a55e-86703f29a0bf,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:32:03.531122,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,3491,8030,27.352,27.351,1287,1399,2686,8030,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f5835063-6a52-4c87-bddb-8c4ac9a7bac5,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:32:21.306508,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to wait for 15 days for the product details, and closed the call with a proper greeting.",3879,8233,16.762,16.761,1361,1415,2776,8233,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf1a397b-609b-45d2-b8c1-142cc7e77906,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:32:57.355434,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent asked for feedback and transferred the call to the feedback IVR.,4407,8678,35.037,35.036,1454,1495,2949,8678,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d03cc846-81f6-4a3d-972a-6bc84e738656,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:33:05.645954,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for confirmation of the name, requested the customer to wait, informed the customer about the ongoing process, and closed the call with a proper greeting.",5208,9579,7.287,7.287,1601,1658,3259,9579,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ebc71356-5ccd-4ed5-846a-692401c05997,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:33:16.227944,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked the customer to rate the conversation, requested feedback, and ended the call with a polite closing statement.",31096,35283,9.569,9.564,6187,6210,12397,35283,0.1,512,Token counts are estimates (API doesn't provide exact counts)
db6bfca6-9e9e-48e6-88d1-1bd306fd6bc6,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:33:26.778368,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to rate the experience, and closed the call with proper greetings.",7663,11843,9.537,9.537,2109,2131,4240,11843,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf8bc6da-1be5-4af0-82ef-5d5d6c2fbb2a,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:34:22.039252,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,2424,7019,54.249,54.248,1130,1250,2380,7019,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d32e992f-1915-4170-98d2-2df58b762151,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:34:29.409538,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call for feedback, and closed the chat with proper greetings.",5090,9258,6.364,6.363,1631,1651,3282,9258,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f1748575-58a5-4456-8615-81eaa69dd226,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:34:35.653717,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not ask for feedback or transfer the call for feedback, and did not close the call with a proper greeting.",601,4797,5.233,5.232,764,793,1557,4797,0.1,512,Token counts are estimates (API doesn't provide exact counts)
e39ded3d-8e8d-415f-835e-8c8b20648c78,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:34:44.153884,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, closed the call with a polite greeting, and did not have an opportunity to ask the customer to transfer the call for feedback.",1894,6111,7.49,7.49,1011,1042,2053,6111,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ee158e5f-562e-4e83-b4d4-b0c855721305,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:34:51.956572,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to rate their experience, and closed the call with a polite greeting.",1956,6139,6.792,6.791,1011,1034,2045,6139,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ccbe8e52-e722-4e07-ae5d-911deecc74ba,type2a,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:34:59.463184,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call to the IVR for feedback, and closed the call with a proper greeting.",4270,8450,6.5,6.5,1448,1472,2920,8450,0.1,512,Token counts are estimates (API doesn't provide exact counts)
