conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type1_conv_0,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T15:59:54.187101,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation. The agent confirmed the customer's name but did not ask for it at the beginning.,7639,11155,4.322,4.322,1946,1995,3941,11155,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_1,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:00:23.332457,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name. The agent did not ask for the customer's name.,2549,5948,28.139,28.139,959,988,1947,5948,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_2,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:00:31.832895,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation. The agent only confirmed the customer's name after the conversation had started.,2847,6285,7.496,7.495,1058,1089,2147,6285,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_3,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:01:08.085480,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name and did not confirm the customer's name. The agent started the conversation with 'Good morning' but did not provide their name or ask the customer's name.,3510,6984,35.246,35.246,1183,1222,2405,6984,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_4,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:01:16.890481,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent introduced themselves with 'Good morning. This is calling today I am here to assist you.' and confirmed the customer's name with 'Am I speaking with चंद्र?',5935,9418,7.798,7.797,1716,1755,3471,9418,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_5,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:01:47.097703,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name. The agent confirmed the customer's name but did not ask for the customer's name.,937,4381,29.205,29.205,673,710,1383,4381,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_6,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:01:55.596475,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name. They only confirmed the customer's name with 'Am I speaking with प्रतीक?',1461,4855,7.496,7.495,772,797,1569,4855,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_7,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:02:03.891260,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation. The agent said 'This side ऋषिता I assist you today.' instead of 'This is ऋषिता' or 'I am ऋषिता'.,3821,7275,7.29,7.289,1242,1280,2522,7275,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_8,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:02:11.264557,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not greet the customer with a standard greeting, introduce themselves, or confirm the customer's name.",4539,7920,6.368,6.367,1452,1474,2926,7920,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_9,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:02:19.571001,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent introduced themselves as 'Good morning, this is गुप्ता here to assist you today.' and confirmed the customer's name with 'Am I speaking with रजत?'",6186,9605,7.304,7.303,1651,1680,3331,9605,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_10,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:02:27.776688,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not introduce themselves with their name. They only said 'Good morning, साकिब this side I'm here to assist you today.'",3907,7304,7.201,7.201,1239,1266,2505,7304,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_11,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:02:35.956438,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation. The agent only confirmed the customer's name after a long conversation.,3249,6678,7.173,7.172,1135,1165,2300,6678,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_12,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:02:45.772609,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not greet the customer with a standard greeting, introduce themselves, or confirm the customer's name.",2801,6216,8.814,8.814,1090,1118,2208,6216,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_13,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:02:54.299653,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent introduced themselves as 'Good morning. My name is रेनी.' and confirmed the customer's name with 'Am I speaking with नरेश? Yeah, hi good morning and for taking my call.'",3869,7356,7.523,7.523,1229,1270,2499,7356,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_14,type1,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:03:26.837077,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not provide their name and only confirmed the customer's name with 'Is this गोविंद?'.,2045,5748,31.536,31.535,923,1035,1958,5748,0.1,512,Token counts are estimates (API doesn't provide exact counts)
