conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type2b_conv_0,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:18:20.709105,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent discussed the issue, provided solutions, and requested for additional information.",7888,10508,4.36,4.36,1899,1941,3840,10508,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_1,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:18:25.695278,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to find if the customer needs further assistance. Instead, the agent asked if there was anything else apart from the credit issue.",2717,5356,3.974,3.973,885,931,1816,5356,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_2,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:18:28.503678,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent asked 'Is there anything else I can assist you?',2994,5451,1.8,1.8,977,991,1968,5451,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_3,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:18:32.995946,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent asked the customer to wait for 48 hours and provided updates on the auto debit status.",3693,6283,3.483,3.482,1114,1153,2267,6283,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_4,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:19:03.718520,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,6232,9060,29.715,29.714,1685,1773,3458,9060,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_5,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:19:31.159467,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,1015,4273,26.43,26.43,569,824,1393,4273,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_6,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:19:35.152330,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent asked 'actualy your प्रतीक is there anything else I can help you with?' which is a question to check if the customer needs further assistance.,1506,4057,2.982,2.981,657,687,1344,4057,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_7,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:19:38.406959,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to check if the customer needs further assistance.,3959,6465,2.25,2.25,1158,1180,2338,6465,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_8,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:19:43.142781,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to put the customer on hold or ask if there is anything else they can assist with.,4722,7260,3.723,3.722,1383,1414,2797,7260,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_9,type2b,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T17:19:47.236860,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent provided updates and information regarding the refund status.",6378,8944,3.082,3.081,1585,1616,3201,8944,0.1,512,Token counts are estimates (API doesn't provide exact counts)
