conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,success,result_value,evidence,transcript_length,response_length,total_latency,prompt_tokens,completion_tokens,total_tokens,api_temperature,api_max_tokens,api_endpoint,model_version
c4a380c6-2e7e-4bc3-93da-7ee864105ba3,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T22:44:09.104712,True,Not Met,"Agent did not provide reassurance statements similar to the ones mentioned, and the conversation focused on addressing the user's concerns and providing solutions.",7639.0,200.0,2.2028112411499023,1904.0,42.0,1946.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c5255fb4-39de-420a-b167-50cb0969101e,type1,REASSURANCE,,,,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",,,600.012237071991,,,,,,,
c61d0420-a312-412d-afdb-84d7f3e0c9dd,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T22:54:13.373755,True,Met,The agent provided reassurance by stating that they will handle the matter promptly and to wait for 7 days from the date of the payment for the loan to be closed.,2847.0,195.0,2.244208812713623,837.0,48.0,885.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c82a3322-e1f6-482e-af70-66d6aee9c8c8,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T22:54:15.831488,True,Not Met,The agent did not provide any reassurance statements similar to the ones mentioned.,3510.0,120.0,1.4527151584625244,1022.0,29.0,1051.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c977f98b-fbdf-4cc8-8038-54aaae125b01,type1,REASSURANCE,,,,False,Parse Error,Failed to parse JSON,,,4.214781999588013,,,,,,,
c9d3573f-7ca1-4865-b3e7-19ba00e56aef,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T22:54:23.715510,True,Met,Agent provided reassurance by forwarding the concern to the support team and promising to get back within 4 hours.,937.0,147.0,1.6618239879608154,399.0,36.0,435.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T22:54:27.913791,True,Met,"The agent provided reassurance by stating that they are forwarding the concern to the internal team, sharing updates by the maximum time frame, and mentioning that they will connect via WhatsApp as soon as there is an update. They also assured that the support team is there for any other concerns.",1461.0,331.0,3.196089744567871,485.0,73.0,558.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
caeeb01c-ff64-4fbf-99e9-f28eb2435dd9,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T22:54:30.298238,True,Not Met,Agent did not provide any reassurance statements similar to the ones mentioned.,3821.0,116.0,1.3768887519836426,1071.0,28.0,1099.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
cb78f5f4-596b-4df6-b858-6c6910d8a157,type1,REASSURANCE,,,,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",,,600.0150289535522,,,,,,,
ccab463f-cd92-48c0-b153-6ef0784dbe96,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T23:04:34.279679,True,Not Met,"Agent did not provide reassurance statements similar to the examples provided, and the customer expressed dissatisfaction with the service.",6186.0,176.0,1.953366994857788,1583.0,38.0,1621.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ccbe8e52-e722-4e07-ae5d-911deecc74ba,type1,REASSURANCE,Reassurance,Server3_OpenChat_Mistral,2025-10-11T23:04:37.728508,True,Not Met,"The agent did not provide any reassurance statements similar to the ones mentioned. The agent apologized for the inconvenience and explained the process, but did not offer any direct reassurances.",3907.0,233.0,2.442375898361206,1102.0,53.0,1155.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
cce5e904-3527-47b4-899a-e786146bf831,type1,REASSURANCE,,,,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",,,600.0123043060303,,,,,,,
