conversation_id,data_type,parameter_tested,success,result_value,evidence,total_latency,parameter_name,model_name,timestamp,transcript_length,response_length,prompt_tokens,completion_tokens,total_tokens,api_temperature,api_max_tokens,api_endpoint,model_version
c4a380c6-2e7e-4bc3-93da-7ee864105ba3,type2a,FURTHER_ASSISTANCE,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.00771808624268,,,,,,,,,,,,
c5255fb4-39de-420a-b167-50cb0969101e,type2a,FURTHER_ASSISTANCE,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.02096199989319,,,,,,,,,,,,
c61d0420-a312-412d-afdb-84d7f3e0c9dd,type2a,FURTHER_ASSISTANCE,True,Not Met,"The user has not asked for further assistance, but the agent has offered it.",1.3985199928283691,Further Assistance,Server3_OpenChat_Mistral,2025-10-11T21:55:30.467071,0.0,113.0,111.0,30.0,141.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c82a3322-e1f6-482e-af70-66d6aee9c8c8,type2a,FURTHER_ASSISTANCE,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01056599617004,,,,,,,,,,,,
c977f98b-fbdf-4cc8-8038-54aaae125b01,type2a,FURTHER_ASSISTANCE,True,Not Met,"The agent asked for further assistance in English, but the other statements are in different languages and do not match the original question.",1.7757649421691895,Further Assistance,Server3_OpenChat_Mistral,2025-10-11T21:57:34.268733,0.0,179.0,111.0,39.0,150.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c9d3573f-7ca1-4865-b3e7-19ba00e56aef,type2a,FURTHER_ASSISTANCE,True,Not Met,"The user did not ask for further assistance, but rather provided a list of statements to analyze.",1.4131052494049072,Further Assistance,Server3_OpenChat_Mistral,2025-10-11T21:57:36.690338,0.0,134.0,111.0,33.0,144.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,type2a,FURTHER_ASSISTANCE,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01361203193665,,,,,,,,,,,,
caeeb01c-ff64-4fbf-99e9-f28eb2435dd9,type2a,FURTHER_ASSISTANCE,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01764559745789,,,,,,,,,,,,
cb78f5f4-596b-4df6-b858-6c6910d8a157,type2a,FURTHER_ASSISTANCE,True,Not Met,"The agent asked for further assistance in English, but the other statements are in different languages.",1.379438877105713,Further Assistance,Server3_OpenChat_Mistral,2025-10-11T22:01:41.120490,0.0,140.0,111.0,32.0,143.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ccab463f-cd92-48c0-b153-6ef0784dbe96,type2a,FURTHER_ASSISTANCE,True,Not Met,"The user has not asked for further assistance, but the agent has offered it.",1.3830087184906006,Further Assistance,Server3_OpenChat_Mistral,2025-10-11T22:01:43.512953,0.0,113.0,111.0,30.0,141.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ccbe8e52-e722-4e07-ae5d-911deecc74ba,type2a,FURTHER_ASSISTANCE,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01205897331238,,,,,,,,,,,,
cce5e904-3527-47b4-899a-e786146bf831,type2a,FURTHER_ASSISTANCE,True,Not Met,"The agent asked for further assistance in English, but the other statements are in different languages, so the condition was not met.",1.7762219905853271,Further Assistance,Server3_OpenChat_Mistral,2025-10-11T22:03:47.317763,0.0,170.0,111.0,39.0,150.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
