conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type1_conv_0,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:20:51.123063,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,7639,10233,3.766,3.765,1816,1856,3672,10233,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_1,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:20:57.597656,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,2549,5104,5.468,5.468,829,860,1689,5104,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_2,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:21:31.774092,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to check if the customer needs further assistance.,2847,5353,33.169,33.169,928,950,1878,5353,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_3,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:21:39.151288,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent asked if there was anything else they could help with after addressing the customer's issue.",3510,6106,6.374,6.374,1053,1091,2144,6106,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_4,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:21:51.439670,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked the customer to hold the call for a short while to check the details, 'कृपया line पर रहा. आप जिस व्यक्ति से बात कर रहे हैं उन्होंने आपके call को hold पर रखा है. कृपया line हां.'",5935,8565,11.281,11.28,1586,1635,3221,8565,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_5,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:21:57.987209,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,937,3485,5.542,5.542,543,575,1118,3485,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_6,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:22:27.888974,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,1461,3966,28.897,28.897,642,664,1306,3966,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_7,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:22:34.750032,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not ask if there was anything else they could assist the customer with.,3821,6309,5.855,5.854,1112,1132,2244,6309,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_8,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:22:40.813712,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,4539,7044,5.056,5.055,1322,1344,2666,7044,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_9,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:22:48.269932,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent provided updates and information regarding the refund status.",6186,8753,6.45,6.449,1521,1552,3073,8753,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_10,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:22:55.334824,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not ask if there is anything else apart from the current issue.,3907,6387,6.058,6.057,1109,1128,2237,6387,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_11,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:23:03.013847,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to find if the customer needs further assistance. Instead, the agent asked if there was anything else the customer needed help with.",3249,5837,6.673,6.672,1005,1041,2046,5837,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_12,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:23:33.428219,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to check if the customer needs further assistance.,2801,5341,29.407,29.407,960,988,1948,5341,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_13,type1,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:23:39.160891,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"Is there anything else I may assist you No no. That's all. Thanks a lot, yeah.",3869,6371,4.726,4.726,1099,1123,2222,6371,0.1,512,Token counts are estimates (API doesn't provide exact counts)
