conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type2b_conv_0,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:00:02.352918,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call for feedback, and closed the call with proper greetings.",7888,12340,7.063,7.062,2190,2270,4460,12340,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_1,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:00:08.612978,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent asked for feedback and transferred the call to the IVR for feedback.,2717,6909,5.248,5.248,1176,1203,2379,6909,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_2,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:00:16.792762,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked if there was anything else to help with, requested feedback, transferred the call for feedback, and closed the call with proper greetings.",2994,7209,7.174,7.174,1268,1296,2564,7209,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_3,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:00:52.532121,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked if there was anything else they could help with, requested feedback, and closed the call with a polite statement.",3693,7883,34.726,34.725,1405,1430,2835,7883,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_4,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:01:27.456122,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,6232,10728,33.912,33.909,1976,2094,4070,10728,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_5,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:01:59.295301,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,1015,5806,30.827,30.826,860,1030,1890,5806,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_6,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:02:09.434005,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked if there was anything else to help with, requested feedback, and closed the call with a polite greeting.",1506,5687,9.131,9.131,948,972,1920,5687,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_7,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:02:16.522727,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to transfer the call for feedback, and closed the call with a proper greeting.",3959,8165,6.085,6.084,1449,1477,2926,8165,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_8,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:02:23.898321,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to transfer the call for feedback, and closed the call with a polite statement.",4722,8915,6.366,6.365,1674,1699,3373,8915,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_9,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:02:28.596106,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to wait for the refund, and closed the call with a polite greeting.",6378,10560,3.684,3.683,1876,1900,3776,10560,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_10,type2b,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T17:02:36.905551,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent asked for feedback and closed the call with a polite greeting,4051,8183,7.299,7.298,1448,1464,2912,8183,0.1,512,Token counts are estimates (API doesn't provide exact counts)
