conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
df61128d-85d0-49d8-a55e-86703f29a0bf,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:48:32.708873,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent asked the customer to wait and provided updates on the delivery status.",3491,6134,6.717,6.717,996,1046,2042,6134,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f5835063-6a52-4c87-bddb-8c4ac9a7bac5,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:48:41.793518,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent asked the customer to wait for 15 days for the order details and track details.",3879,6634,8.08,8.08,1070,1141,2211,6634,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf1a397b-609b-45d2-b8c1-142cc7e77906,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:48:48.964632,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,4407,6966,6.158,6.158,1163,1195,2358,6966,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d03cc846-81f6-4a3d-972a-6bc84e738656,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:49:30.355176,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent informed the customer about the ongoing process and the expected timeline.",5208,8265,40.382,40.381,1310,1429,2739,8265,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ebc71356-5ccd-4ed5-846a-692401c05997,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:49:40.601331,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not ask if there was anything else the customer might need assistance with.,31096,33588,9.238,9.237,5896,5916,11812,33588,0.1,512,Token counts are estimates (API doesn't provide exact counts)
db6bfca6-9e9e-48e6-88d1-1bd306fd6bc6,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:50:12.013773,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent continued the conversation without any indication of putting the customer on hold.",7663,10249,30.407,30.406,1818,1853,3671,10249,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf8bc6da-1be5-4af0-82ef-5d5d6c2fbb2a,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:50:46.852059,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,2424,5311,33.833,33.833,839,960,1799,5311,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d32e992f-1915-4170-98d2-2df58b762151,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:50:53.118315,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,5090,7595,5.254,5.253,1340,1362,2702,7595,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f1748575-58a5-4456-8615-81eaa69dd226,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:50:58.026776,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to check if the customer needs further assistance.,601,3112,3.898,3.898,473,496,969,3112,0.1,512,Token counts are estimates (API doesn't provide exact counts)
e39ded3d-8e8d-415f-835e-8c8b20648c78,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:51:02.698747,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,Agent did not use any of the provided statements to check if the customer needs further assistance.,1894,4396,3.66,3.66,720,741,1461,4396,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ee158e5f-562e-4e83-b4d4-b0c855721305,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:51:34.454695,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,Agent asked 'Is there anything else apart from this I may assist you with',1956,4429,30.747,30.747,720,737,1457,4429,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ccbe8e52-e722-4e07-ae5d-911deecc74ba,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:52:03.525884,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not ask if there was anything else the customer needed help with after the initial issue was addressed.,4270,6790,28.058,28.058,1157,1182,2339,6790,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f30f7272-b779-4ba3-a5b4-362ff3b876fd,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:52:31.900277,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,1219,5808,27.365,27.365,585,1001,1586,5808,0.1,512,Token counts are estimates (API doesn't provide exact counts)
e53791d2-2cdd-4139-a7ab-b54b23905919,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:52:36.708343,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,2339,4844,3.796,3.795,792,814,1606,4844,0.1,512,Token counts are estimates (API doesn't provide exact counts)
e673e5f3-079d-41bb-af27-b57947b5d25a,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:52:42.129560,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,Agent asked 'Apart from this anything else I can help you with?',1634,4097,4.413,4.413,662,677,1339,4097,0.1,512,Token counts are estimates (API doesn't provide exact counts)
e3783fd9-233f-4454-981a-acb7bba71ae6,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:52:47.354774,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,3440,5969,4.219,4.219,1036,1063,2099,5969,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f107d468-c4c5-46ee-926a-66c62a1ad910,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:53:21.767050,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,9383,12272,33.407,33.406,2253,2376,4629,12272,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d28425a2-6f04-4335-963a-c7f3cc0828d9,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:53:26.470711,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to find if the customer needs further assistance.,3235,5740,3.691,3.691,941,963,1904,5740,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:53:32.306628,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,Agent asked 'actual your प्रतीक is there anything else I can help you with?',1581,4056,4.824,4.824,657,674,1331,4056,0.1,512,Token counts are estimates (API doesn't provide exact counts)
fd74ffe7-aebd-4ac1-bb4a-71832b3eaa41,type2a,FURTHER_ASSISTANCE,Further Assistance,Server5_Base_Mistral,2025-10-11T16:53:39.682155,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the customer on hold. Instead, the agent asked the customer to wait and later placed the call on hold after the customer's consent.",6556,9155,6.362,6.362,1586,1626,3212,9155,0.1,512,Token counts are estimates (API doesn't provide exact counts)
