conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,error,latency_seconds,total_tokens,prompt_tokens,completion_tokens,model,finish_reason,temperature,max_tokens
type1_conv_0,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:32:51.279125,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,False,Parse Error,Failed to parse JSON,7639,93,380.044,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=300)",0.0,0,,,,,,
type1_conv_1,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:32:55.404294,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,True,Met,The agent greeted the customer with 'Good morning' and introduced themselves with 'this is <name>'. The agent confirmed the customer's name with 'Am I speaking with प्रवीण?'.,2549,217,3.121,,3.119,1603,1540.0,63.0,openchat/openchat-3.5-1210,stop,0.1,512.0
type1_conv_2,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:33:01.213176,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,True,Not Met,"The agent did not provide their name and only confirmed the customer's name with 'Yes, thank you for confirming. I see you have raised a request in regards to the credit cash issue'.",2847,229,4.798,,4.796,1676,1615.0,61.0,openchat/openchat-3.5-1210,stop,0.1,512.0
type1_conv_3,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:41:39.325217,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,False,Parse Error,Failed to parse JSON,3510,93,517.1,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=300)",0.0,0,,,,,,
type1_conv_4,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:42:04.380712,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,False,Parse Error,Failed to parse JSON,5935,496,24.05,,24.05,5828,5316.0,512.0,openchat/openchat-3.5-1210,length,0.1,512.0
type1_conv_5,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:42:08.322769,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,True,Not Met,"The agent did not introduce themselves with their name, and only confirmed the customer's name with 'Am I speaking with प्रवीण?'. The agent's greeting was also not in the required format.",937,234,2.938,,2.938,1244,1177.0,67.0,openchat/openchat-3.5-1210,stop,0.1,512.0
type1_conv_6,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:47:09.338710,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,False,Parse Error,Failed to parse JSON,1461,93,300.01,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=300)",0.0,0,,,,,,
type1_conv_7,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:47:14.019838,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,True,Not Met,"The agent did not introduce themselves with their name, and only confirmed the customer's name with 'Yeah, actually the payment like I took the loan from the credit So right now yesterday I made the payment manually and today it's auto debited. So can you refund 1 payment Ok.'",3821,324,3.675,,3.675,1929,1849.0,80.0,openchat/openchat-3.5-1210,stop,0.1,512.0
type1_conv_8,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:52:15.041535,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,False,Parse Error,Failed to parse JSON,4539,93,300.016,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=300)",0.0,0,,,,,,
type1_conv_9,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T18:52:19.147155,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,True,Not Met,The agent did not introduce themselves with their name and did not confirm the customer's name. The agent's greeting was not in the format of 'Good morning/afternoon/evening Hello'.,6186,224,3.1,,3.1,2424,2361.0,63.0,openchat/openchat-3.5-1210,stop,0.1,512.0
type1_conv_10,type1,OPENING,Opening,Server3_OpenChat_Mistral,2025-10-11T19:01:41.805080,0.1,512,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210,False,Parse Error,Failed to parse JSON,3907,93,561.651,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=300)",0.0,0,,,,,,
