conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type1_conv_0,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:05:34.598823,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call to feedback IVR, and closed the call with proper greetings.",7639,11915,4.28,4.279,2107,2150,4257,11915,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_1,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:05:40.762423,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call to the IVR for feedback, and closed the call with a proper greeting.",2549,6776,5.154,5.153,1120,1151,2271,6776,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_2,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:05:47.288751,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call for feedback, and closed the call with proper greetings.",2847,7015,5.515,5.515,1219,1239,2458,7015,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_3,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:06:22.351272,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked if there was anything else they could help with, requested feedback, and closed the call with a polite statement.",3510,7700,34.058,34.058,1344,1369,2713,7700,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_4,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:06:29.621616,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, transferred the call for feedback, and closed the call with proper greetings.",5935,10174,6.258,6.257,1877,1909,3786,10174,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_5,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:00.754846,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, closed the call with proper greetings, and showed patience throughout the conversation.",937,5279,30.122,30.122,834,889,1723,5279,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_6,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:08.142924,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to rate their experience, and closed the call with a polite greeting.",1461,5644,6.376,6.376,933,956,1889,5644,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_7,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:17.343002,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent asked if there was anything else they could help with and requested feedback before ending the call.,3821,7992,8.191,8.19,1403,1425,2828,7992,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_8,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:24.387639,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to transfer the call for feedback, and closed the call with a polite greeting.",4539,8731,6.036,6.036,1613,1638,3251,8731,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type1_conv_9,type1,CLOSING,Closing,Server5_Base_Mistral,2025-10-11T16:07:30.860299,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent asked for feedback, requested the customer to reach out if they need assistance in the future, and closed the call with a polite statement.",6186,10398,5.46,5.46,1812,1841,3653,10398,0.1,512,Token counts are estimates (API doesn't provide exact counts)
