conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
df61128d-85d0-49d8-a55e-86703f29a0bf,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:43:25.160082,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,3491,6793,27.122,27.122,1065,1174,2239,6793,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f5835063-6a52-4c87-bddb-8c4ac9a7bac5,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:43:32.236574,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,Agent used the statement 'place your call on hold for 1 minute?',3879,6859,6.071,6.07,1139,1184,2323,6859,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf1a397b-609b-45d2-b8c1-142cc7e77906,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:44:07.618627,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent discussed the foreclosure amount and other related details.",4407,7381,34.378,34.377,1232,1273,2505,7381,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d03cc846-81f6-4a3d-972a-6bc84e738656,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:44:15.656287,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent used phrases like 'Please allow me a moment of time', 'So that there is no confusion', 'Please wait till tenth of October', and 'I will definitely make sure that you will be receiving the refund'.",5208,8369,7.024,7.023,1379,1455,2834,8369,0.1,512,Token counts are estimates (API doesn't provide exact counts)
ebc71356-5ccd-4ed5-846a-692401c05997,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:44:24.354931,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not explicitly ask for permission to place the call on hold. However, the agent did mention 'May I place your call on hold for a minute?' which is a statement that can be interpreted as a request to place the call on hold.",31096,34096,7.689,7.686,5965,6015,11980,34096,0.1,512,Token counts are estimates (API doesn't provide exact counts)
db6bfca6-9e9e-48e6-88d1-1bd306fd6bc6,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:44:37.521225,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. However, the agent did use the phrase 'Ok और आपको insurer की तरफ से मिल जाएगी policy document soft copy में भी और hard copy भी आपको कुछ दिनों में मिल जाएगी. Ok?' which is similar in intent to the provided statements but not an exact match.",7663,10744,12.154,12.153,1887,1954,3841,10744,0.1,512,Token counts are estimates (API doesn't provide exact counts)
cf8bc6da-1be5-4af0-82ef-5d5d6c2fbb2a,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:45:09.724582,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,2424,5688,31.191,31.19,908,1026,1934,5688,0.1,512,Token counts are estimates (API doesn't provide exact counts)
d32e992f-1915-4170-98d2-2df58b762151,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:45:16.785580,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the conversation continued without any indication of the call being placed on hold.",5090,8024,6.05,6.05,1409,1443,2852,8024,0.1,512,Token counts are estimates (API doesn't provide exact counts)
f1748575-58a5-4456-8615-81eaa69dd226,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:45:21.702553,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent disconnected the call due to the customer's absence.",601,3519,3.911,3.911,542,574,1116,3519,0.1,512,Token counts are estimates (API doesn't provide exact counts)
e39ded3d-8e8d-415f-835e-8c8b20648c78,type2a,HOLD,Hold,Server5_Base_Mistral,2025-10-11T16:45:27.437632,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent informed the customer that they would be checking the document and raising the concern to the internal team.",1894,4863,4.723,4.722,789,830,1619,4863,0.1,512,Token counts are estimates (API doesn't provide exact counts)
