conversation_id,transcript
c4a380c6-2e7e-4bc3-93da-7ee864105ba3,"Good morning, this is सुमित. I am here to assist you today. Am I speaking with तुषारा you so much  for confirming your name. So your request is in regards to Cred cash. Am I right? Thank you so much for confirming  since I could see I have mentioned that you are facing a repayment issue. I am extremely sorry for this inconvenience caused. please understand but exact issue you are facing so that I could assist you accordingly. I made the payment against the credit cash and the night itself. Ok. and still the auto pay was done and their the bank has charged the ECS return that, then   even I have uploaded the screenshot. Ok तो I totally understood your concern that you have made a EMI payment  as I could check the time is around 2  27 AM in the  like on seventh of October you have made the payment. Am I right? Thank you so much तुषारा for confirming. So कुशल as I could check it from my end that you have made the payment around ###AM however, the status of the payment actually got updated around 37 am in the morning. in between that since it was your due date and the payment status was not updated. So as a result around 1 45 AM in the morning, the auto debit was initiated and you have already made the payment manually so when it was initiated it got failed and you have been charged with mandate bounce charges So  I would kindly request you that for your upcoming EMI when you  you want to make manual payment, there is no issue with that. However, if you want to make the manual payment please make the manual payment at least  business prior so the status of the payment gets updated timely and no auto debit will be initiated after that. Ok? No. Now the charges which has been deducted now who will be it. Why should I  if I  made the payment I got the message from the Cred that the payment has been received. Sure कृष्णा. at the exact time when I made the payment credit has got the payment it was  due to update it immediately, they are not updating it immediately they did the auto pay system was done on the actual time it has to be done. But updation of the payment was done at ###AM. the charges which are so basically there was only ###something rupees in my account, it got debited and even that after that, I have a  balance negative balance in count Yes,  I totally understand your concern. So do not worry as a 1 time exception and they will be providing you that charge so for that you have to share us your current updated bank statement with us where the amount that has been deducted is there, so that we could validate and even I have already updated the screenshot I'm so sorry तुषारा but we cannot actually validate the screenshot, we need the current update  bank statement to validate it and raise this concern to our internal team Yeah, you want the bank statement, right? Correct  So So what current current month? for the current and it should be in PDF format and password free so that we could actually validate it and raise this concern to our internal team. Yeah yeah.   I have already downloaded where upload So I have actually shared you a link to your registered phone number and the last 4 digit of the phone number that I could check it ###. Am I right? Yes, but I have not received the line. Ok, you have not received any link. Right? Can you share on this number? Actually, the link will be shared to your primary number only. Any other option where the link will be Yes actually I will be sharing you a mail you can actually reply to that mail and you can add attach the Yeah, you can share the email. Yeah, please share the mail. Sure. So I am sharing you the email to your registered email ID which is   r  j   9 at the rate Gmail dot com. Am I right? Thank you so much for confirming. Please be online. while I just you the mail. I have already shared you the mail विशाल. So could you please kindly check whether you have received it or not? sir but I have not received Just allow me a moment. Actually, I have shared you the mail  few seconds only. So once you share the file, just kindly let me know to check so that I could check it from my end. the amount has been deducted today. and I'm not able to select the statement for Ok, तो So in that case, you can do 1 thing that once the amount is generated, the link that like the mail that I have provided you, you can actually reply to that mail and we can add attach the file and once you add attach the bank statement  call will be initiated from our end and we will be assisting you further with your concern. In that work for you तो? Ok, tell me 1 week. reverted for the amount will be down the amount debited or the whole total which is negative. So the amount that got debited from your bank account as a mandate voucher, we will actually refund that like proceed for the refund for that amount. No, even negative balance is also there. So negative balance is there for that, I would kindly request you to share to keep sufficient balance in your account. Once you give sufficient balance the amount will be deducted and after that, you can share the bank statement and we will validate those charges that was being made to you and we will actually proceed for the refund for those amount. Ok? Thank you so much  for understanding. So, do you have any other query regarding  that I may assist you further? No, I didn't receive any email Ok. So I have actually shared your  your registered email have not yet received email? Ok, तुषारा but I have actually shared you the like email like the mail   email registered email ID which is Ok sir. wait  a second. Sir. down call regarding credit cash loan. If you need   request  for  the  support section I have received. the mail regarding that I have made a call to But there is nothing regarding that  I can upload anything. actually you have to like reply to that mail and you have to add attach and you have to upload the file. Ok ok. So since you have mentioned that the link is not actually working So for that I have shared you the mail. So there is no specific link in that mail. you just have to reply to that mail and you can add attach to 5 and you can share it with Yeah, the email email is credit support load support at the rate crate dot Correct विशाल. So once you upload the file the call will be initiated and we will be validating your concern and assist you accordingly. Thank you so much  for your valuable time and also पुछा, do you have any other query that I assist you further with? cancel  the credit cash balance right now Ok. So as I have understood your concern you want to know the credit cash balance Am I right? Ok. So for that, actually just be online. Ok so as I can understand that you want to know regarding the credit cash balance Am I right? So as I could check it from my end that currently the credit cash feature is not available for you because there is a change in our lending partners available like approval criteria. So this is the reason why currently it is not available for you  do not worry because we are working on adding more lending partner. So once it's done you will surely receive a notification from our end through WhatsApp and SMS.  after that, you can retry the withdrawal procedure Ok? Thank you so much for your valuable time पर and also before we end this call, may I request you to share your valuable feedback basis on the conversation that we had. Ok ok. Thank you so much.  I will transfer your call to our feedback IVR. You can select between 1 to 5 5 being excellent and 1 being 4. Thank you so much for choosing I hope you have a great day. We request you to rate your experience with our expert on a scale."
c5255fb4-39de-420a-b167-50cb0969101e,"Good morning,  this side I'm here to assist you today. Am I speaking with प्रवीण? Thank you for the name confirmation. प्रवीण. As I can see that you raised the concern for your payment of ###rupees. prepaid to संजय. Yes sir correct. also ###rupees and   So the total amount that you have paid is ###rupees and eighteenth of September you made the transaction Yes, correct. I can see there is a multiple attempt that May I exactly know how many times your amount was debited nan reward. Yeah. Thank you for confirming. And also, I can see that you provided us the screenshot or PDF already shared the ticket document. bank time, Ok. provide me a moment. I'm just opening it from my end. I really apologize for the inconvenience that you have faced on the credit application. Rest assured I will surely try my best to help you regarding your concern. Ok ok. Please I requested Yes. Now it's open over here. So it's still not updated over there. nan No refund has been initiated Yeah, refund Ok for ###rupees Minus I can see over here is ###rupees  पैसा. Yeah yeah. But when I am checking the statement प्रवीण. There is no deduction on the name of credit application. with the statement that you have shared over here there is no deduction of this particular amount of 60 24 rupees   पैसा. on the name of credit application. you come audible? Yeah yeah yeah Yes, रवि. So if there is no deduction on the name of the credit application how  how we are supposed to provide you any kind of refund regarding there is any deduction of the amount on the name of the credit application, we will surely assist you with I would right now by seeing the statement, I really apologize there is no deduction of this particular amount on the name of the credit application. Ok ok. I really apologize if there is any deduction request you to please connect with the respective Ok. Thank you. Most welcome. Anything else I can help you related to credit apart from Nothing nothing. then on the basis of a conversation प्रवीण, may I please request your valuable feedback? will just take a Ok ok. Ok, thank you  so much. I'll be transferring your call to our IVR feedback over there you can rate between 5 to 1  being  and 1 being Ok. Thank you for choosing  प्रवीण. Have a great day. We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. Please press the number on your dial pack to You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns."
c61d0420-a312-412d-afdb-84d7f3e0c9dd,"morning. This is रिया. I am here to assist you today. Am I speaking with मंजीत? Yes, thank you for confirming. I see you have raised a request in regards to the credit cash issue Right. Yes, can you please tell me what you want to Actually, I was withdrawing amount on second of October by some take but later on the same day  refunded the money. But still it is not reflecting credit cash. So I am only   once the  page perfectly or not. on the same day as  on  second of October only you have made the payment of the amount? Yeah. Yeah. Ok. So after canceling with you. Ok, so you received the screenshot from so you received the link from us to make the payment Yeah. and after that I also send a mail to get  the screenshot of the payment will done what I done. Ok, so have you shared the screenshot with us? Yes. Ok just allow me a moment to check Yes sir. हां हां the Thank you for staying on the call. Yes, रंजीत. So actually what I can see  we have not received the amount sorry, we have not received the screenshot of the payment. So I'm sharing a link with you. They via the SMS if you click on it, you'll be redirected to the Cred app there on the option called add attachment. I would request you to please add the screenshot of the payment. nan But I already attached in the previous  support ticket number if you can see the previous  number of mine, it was clearly attach the I understand but we do not have that at this moment so I would request you to please share the screenshot once. 1 second, Just allow me a moment. Yes. Ma'am Thank you so much for staying on the call. Yes. I have found the screenshot that you have shared with us I'd like to inform you that I would request you to please wait for 7 days from the date of the payment and within that time, the loan will be closed. Ok. So it was done  because it is not reflecting  that's why I am little continue with it was done or Yes yes. Definitely. I have put it in a wrong Yes yes please do not worry. It will take some time for it to be updated as closed. but do not worry within 7 days from the payment date it will be updated. Ok. Yes. Is there anything else I can assist you? No no no thank you. I just want to confirm this You're welcome. Ok before we end this call, may I request you to share your valuable feedback on the basis of our conversation. I will be transferring the call to the feedback IVR. You can select between 1 to 5 or 5 is excellent and 1 is 4. Thank you so much for choosing Cred. I hope that you have a great day ahead. Thank We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. Please press the number on your dial pack to You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
c82a3322-e1f6-482e-af70-66d6aee9c8c8,"Good morning. This is  I'm here to assist you today. Am I speaking with Can you for confirming. As I can see that you have a request regards to repayment Am I right? of the fourth of the second seventh October. Can you please tell me what is the exact issue you are facing regarding the auto payment sorry, the repayment? my amount was paid not deducted the amount  amount is refunded us today I'm really sorry but I couldn't understand your query. Can you please reach amount not my amount pay in today हां transfer problem is payment is pending, so  15 minutes amount credited to my account repayment So as I can understand what you are trying to say is that on seventh  October the auto debit got tracked right? and on second seventh October itself. you tried to pay the EMI manually but it failed. हां, ok. and the a  refund of it? Ok, today auto debited  not debited. Ok so you want to know whether the whether you auto debit  to be trigger or not? Ok. Just allow me some time. I'm checking the details and I'm really sorry for the inconvenience  you are facing but don't worry I will try my best to help you. Please be online. can I please put your call on hold for a minute? nan nan you for staying on hold. and really sorry for the long hold. As I can see that the auto debit is still in processing state. ok? So I would request you to wait for 48 hours within that 48 hours. The payment  the auto debit but auto debit might be failed or completed. Ok? If you get an update from regarding auto auto debited in last day  today, Yes, auto debit your due is seventh of every month. So definitely it is date of auto debit. Ok. So I request you to wait for 48 hours. Ok? Ok,   charge  No  ma'am, no no. charge charge  चारों there is a extra charge for EMI, but see if it fail, then there might be some ECS charges ok? from your So for that, if you need any help you can call us back. Ok? We will help you regarding auto debit auto debit at the timing see auto debit doesn't have any exact time because it can be the anytime within the due date within the 24 hours of the due date. Ok? So we don't have any kind of fix time  auto debit. ok? So I would request you to maintain  sufficient funds Ok. again today Ma'am today in last day  man was manually pay so auto I would request you to wait for 48 hours. even  after 48 hours if the payment auto debit got failed, gets fail then after that, you can pay the EMI manually. But as of now, I would request you to wait because if you pay  again, there might be some double debit problem. ok? So I would request you to wait for 48 hours. Ok ok. So is there anything else I can help you with? No, the credit  customer contact now. Unfortunately, we don't have any kind of customer care number for But you can call us back to the voucher that you made previously calling us. Ok ok ok. and if you need any help, please feel free to reach out to us. No no. Ok. is there anything else I can help you Ok. So before ending this call, can I ask you to give us valuable feedback on the basis of our conversation? Yes yes. Ok. So I will transfer your call to feedback IVR. You can select between 1 to 5. 5 being excellent and 1 being 4. Thank you for choosing. I hope you have a great day. We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. Ok Please, you have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
c9d3573f-7ca1-4865-b3e7-19ba00e56aef,"morning. This is श्वेता.  here to assist you today. Am I speaking with प्रवीण? Hello. Yeah. Yeah. Am I audible? Am I audible to nan Your voice is not clear. Your voice is not clear. जी. Hello. हां, 1 second. Yeah, actually   added money to  when I tried to cancel the money it is showing nan nan Yes, I re is my Ok. So you are doing KYC process and it is showing to you same ID mismatch right? Your voice is not clear. what it was I I did the  possible. in the same  I  change the same same number. nan ठीक nan Ok. Thank you for the name confirmation. I understand the concern you are facing right now. apologize for the inconvenience प्रतीश. Please be assured I am here to assist you with the same. Please allow me some time. is being actually. please allow me some time. Ok, I have forwarded your concern to our dedicated wallet support team who will get back to you within the next 4 hours. Am I audible to Am I audible to you, प्रदीप"
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,"Good morning. This is समित calling from Cred on a recorded line. Am I speaking with प्रतीक? Yes  taking. you so much for confirming your name. As the last call got disconnected due to some technical issues. Is this the right time to So please tell Ok ok so I was informing you that I am forwarding your concern to our internal team so that they can check it on their end as to why the bill has not received the payment and we will share  update regarding your concern प्रतीक by the maximum time frame of fifteenth of October. But please be rest assured. This is just the maximum time frame as soon as we have an update regarding your concern we will connect with you via WhatsApp and you can also see these updates on the credit application also. Ok? Ok   ok. actually your प्रतीक is there anything else I can help you with? No, You're most welcome. Before we end this call may I request for your valuable feedback on the basis of our conversation, it will only take a moment. Ok, great. I will be connecting your call to our feedback IVR where you can rate between 1 to 5. 5 being excellent and 1 being 4. Thank you for choosing Cred. I hope you have a great day ahead. nan We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. Please press, you have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
caeeb01c-ff64-4fbf-99e9-f28eb2435dd9,"Good morning. This side ऋषिता I assist you today. Am I speaking with साकिब? Yeah, fine. for the  confirmation से. So as I can see that you have raised your concern regarding the repayment issue. Am I right? Yeah, actually the payment like I took the loan from the credit So right now yesterday I made the payment manually and today it's auto debited. So can you refund 1 payment Ok. So is correct   wrong. you said that you already paid your EMI Pay. However, your auto debit is already initiated That's the  right? Yes yes yes. Ok. I'm really sorry for the inconvenience,  but I would like to inform you 1 thing that your auto debit is already initiated  ###AM. Ok? On your due date because seventh is your due date. So if you want to meet the I mean payment manually just do it at least due day prior from your due date. So what will happen that your bank will get the update and you want initiate your auto debit. nan Ok so I thought so that 1 is processing in processing so I thought that 1 is not debited so might be possible that 1 is reflect to my loan payment and I have to pay the extra charge that is the penalty So that's the reason I yesterday I made the payment but it is possible to refund. Ok. So basically, totally understand  your conditions. But you made the payment today  3 AM. Ok? So if you have a sufficient balance in your account and your auto debit got initiated the no need to worry about this because it will deduct it. Ok? How Yeah, last  last time that 1 is not debited so like I  paid manually so that's the reason this month I I made that   but yeah make sure next time I will Ok ok I understand that. But in our system it's showing now you are auto able to still initiated and it's showing processing However, right now we are unable to face the data on this. So we just request you to please wait for 48 hours because your EMI status will be updated within 48 hours and once it's updated then you will reach out with us. We check the data and then we will inform So can I get the refund? Yes, Yes, I understand. what I am saying is your amount will deducted twice So we will try our best to refund that amount to you. If it's not possible that it will be adjusted with your next month EMI, So your auto debit won't be initiated next time. However, right now Actually I need money. So if it is possible so like  refund Yes, I understand Yeah, you can take time. You can take time  1 or 2 day I will wait but I don't have sufficient amount in my account right now. So  that is the reason I  money. Ok, I totally understand that because I can see that your EMI amount is ###. So definitely you need money and for that reason, we are unable to give you any assurance about the out for that's why we ask you to please contact with us after 48 hours. So we can face the date and   help you accordingly. Yeah. So can I call you directly in this number? Ok. So we don't have that we don't have that exact contact number. So you just create  ticket is like  date right now. And then you just select the call me now option. We will return. जी. nan Ok ok. So apart from this, is there anything else I can assist you? No no no thank Ok great. So before we end this call, may I request you to share your valuable feedback basis on our conversation? So I'm going to transfer your call to feedback IVR where you can select between 1 to 5, where 1 being 4 and 5 being excellent. But you for choosing. Yes tell me. No no, nothing. Ok. Thank you for choosing. Have a great We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. nan that nan Please press the number on your dial pack to no You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
cb78f5f4-596b-4df6-b858-6c6910d8a157,"जी. जी ma'am   sure से बात कर रहे हैं ma'am. धन्यवाद नाम confirm nan हां ma'am आपका hours थोड़ा बहुत कम आ रहा है बहुत अभी ठीक हां जी ठीक है ma'am. जी हां जी आपने जो order place किए थे text no sports नहीं हुआ था  delivered mark हो गया नहीं नहीं यह इसमें क्या हुआ है कि ma'am यह deliver हुआ नहीं था मुझे मेरा सामान नहीं मिला है. हां मैं फिर इतना दिनों के बाद में वह deliver mark हो गया है. मैं कितने दिनों के बाद में मैं गया but में गया उनसे बात किया अगर घंटा  घंटा wait करना पड़ा  लोग बोले  कि यह deliver हो चुका है. हां यह आपको नहीं मिला है. मैं बोला मुझे मिला ही नहीं आप ढूंढ  मिलेगा तो उन्होंने थोड़ा हो जा को बाद में उनको मिला जब मुझे deliver ना हो गया मुझे नहीं किया है तो यह आपके पास में parcel क्या कर मैं समझ में आया हां जी मैं समझ उनके पास कहां से आया मुझे जब मेरा parcel on गया तो यह कि इसका parcel है मेरा नाम का मेरा address का वही देख का. वह by mistake मतलब वह क्या हुआ है कि delivered दूसरा का parcel हुआ है but मेरा parcel का photo check करके उन्होंने  upload कर दिया है वहां से मेरा delivered mark कर दिया है जिसका delivered हुआ है उसका delivered mark नहीं हुआ है but उसका parcel उसको मिल गया और मेरा parcel का photo check करके वह photo में भी  पड़ा है system में manually उनको आप नहीं है पांच. पैसा तीन हो गया मुझे परेशानी हुआ आपका सात दिन तक मैं wait किया उसके बाद में मुझे जाना पड़ा एक तो credit ऐसे ही दस दिन का समय लेता है कम से कम आपका दस दिन का समय लेता  उसके ऊपर आपका दिन और  लग गया पंद्रह दिन का समय लग गया मुझे वहां जाना पड़ा आधार घंटा पैंतालीस मिला उनसे बात करना पड़ा पूरा  खुद ना पड़ा उनका office में  नहीं जा करके मिला  उन्होंने अपना गलती accept किया यह तो ma'am गलत बात है ना समझ पा रही हूं. माफी चाहूंगी परेशानी के लिए. इसके regarding. नहीं यह Amazon credit card थोड़ी है ma'am एक credit card है समझ पा रहे ऐसा तो नहीं होना चाहिए ना समझ पा रहे हैं आपकी बात माफ़ी चाहूंगी परेशानी के लिए. बताना चाहेंगे इसके regarding feedback team के साथ और merchant के साथ ज़रूर share किया जाएगा. लेकिन next time से ऐसा  ना हो और जैसे कि आपका issue दुबारा forward किया गया था team के पास तो team से information आया है कि courier validate किया आपको order मिला जी ma'am. मैं तो आपको बोला हूं. अच्छा अभी आपको मिल गया है आपका मेरे पर बाद में मिला है but बाद में मिला  है यह दूसरा बार मैं  complaint करने के लिए आपको मैं यह किया दो बार complaint जब किया था,  दूसरा बार के बाद में  गया था लेने के लिए वहां पर वह लोग अपना गलती   मुझे ही नहीं है तो  कि  आपका आपने mail लिया है और एक तब जाकर ले लिया था यह parcel आपके पास कहां से समझ पा रहे आप बताइए. समझ पा रही हूं आपके बाद में उन्होंने अपना गलती accept किया तो परेशानी तो मुझे हुआ ना मुझे तो अपना parcel मिल मैं समझ पा रही हूं आपकी बात माफ़ी चाहूंगी परेशानी के लिए. इसके regarding feedback  के साथ  merchant के साथ ज़रूर share किया जाएगा ताकि  time  ना. nan आज तक ऐसा नहीं हुआ ma'am कोई भी partner के साथ में कभी नहीं हुआ delivery      के साथ ऐसा नहीं होगा  से ही नहीं हुआ यह first time हुआ तो गलत है कम से कम भेजा ठीक है कोई बात नहीं customer एक आया उसने दूर से एक बार ढूंढने तो  वह ढूंढ भी नहीं रहे हैं time नहीं है ना पड़ेगा ना का का आधे घंटे  पैंतालीस तब जाकर के उन्होंने   निकाला  अपना गलती accept किया तो मैं क्या बोलूंगा जगह थोड़ी करूंगा मुझे में क्या मैं चला आया और क्या बोलूंगा कुछ भी नहीं बोला यह परेशानी तो हुआ ना ma'am. समझ पा रही हूं आपको order मिला भी but वह बहुत परेशान के बाद आपको मिला जी. वह पैसा नहीं है ना. माफी चाहूंगी हम लोग भी चाहते हैं कि कोई भी customer को ऐसा  face करना पड़े. इसके regarding strong feedback share किया जाएगा कोशिश करेंगे next time the यह अगर cash  delivery होता है तो ma'am ऐसा नहीं होता but यह prepaid credit का  prepaid होता है ma'am यह  तो इसीलिए इसीलिए यह side mistake हुआ ठीक है कोई बात नहीं mistake होता है ma'am ऐसा बात नहीं  काम से होता है कम से कम पूरा customer का बात कर सुनने चाहिए. हां जी, credit में नहीं समझ पा रही हूं. समझ पा रही हूं. धन्यवाद इतना समझने के लिए. आप चिंता मत कीजिए कोशिश करेंगे जी ठीक है ma'am इसको resolve कर दीजिए इसको दिया था यह ठीक है इसके अलावा और कुछ सहायता मैं आपको कर सकती? नहीं नहीं  बहुत बहुत धन्यवाद मैं  अपना सामने कोई बात nan एक छोटी सी request है call खत्म होने से पहले क्या मैं आपका call feedback के लिए transfer कर सकती हूं इस conversation जी जी जी ma'am. जी जी जी. ठीक है. तो उसमें आप एक से पांच के अंदर number check कर पाएंगे. एक होता है, सबसे बुरा पांच होता है सबसे अच्छा. बहुत बहुत धन्यवाद. मैं पांच दे देता हूं आप कर दीजिए. ठीक है ma'am. धन्यवाद. धन्यवाद  बने रहने के लिए. आपका दिन शुभ We request you to rate your experience with our. You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
ccab463f-cd92-48c0-b153-6ef0784dbe96,"Alright. Thank you so much for giving  the   how   the   proper मैं Good morning, this is गुप्ता here to assist you today. Am I speaking with रजत? Yes. You can see my transaction right? Yes, I can see प्रिया your concern is regarding the transaction. Do not worry I will help you and thank you for your name confirmation. I can see this transaction you have made on third of October and the amount of rupees 1 lakh 11 rupees right? Right. they asked me to wait till ### which I waited And till now my money is not yet Alright. So really sorry for the inconvenience caused to प्रकाश. I do understand your concern regarding the refund. Do not worry. I'll surely help you. You made this payment towards your SBI bank credit card    card   number and you have confirmed that you have not received the refund. So would like to inform you प्रकार Please be on call, I am checking in the send Alright? this refund has successfully completed to your bank account ending with  0 at ICICI bank So you should see the amount reflect in your statement by the maximum time frame is fourteenth of October. Within this time frame at any moment you will receive the refund because it's already has been completed from Cred side. And refund details and the UTR number is also available and you can same find it out in your application to प्रकार then they told me it should reflect by sixth of   the transaction was Ok. You will ask me to wait till I wait asked me to wait till fourteenth of October Really sorry for the information पत्ता that you facing to wait this time frame. Not a small amount  ###rupees I would have understood. I would have waited for that long it's a big amount  should have prior Yes. Yes,  I do understand your point. This is not the small amount. If   the situation   the same. I like to inform you  refund on fourth of October your refund has successfully completed from credit side as per the banking standard processing time, we have requested you to please wait. and also  this is a maximum because once the credit has completed the refund there are possibilities just at any moment you will get the refund in your source account. This is a maximum time frame only and I'll take your ward as a feedback and definitely try to improve our services as well. पता I can see that rupees of 11 you have added from the credit  balance while making this payment. So 11 rupees you will get the same in your credit balance. and the rest amount in your source account. you think I'm here about 11 rupees there no it's not that it is  bigger amount. Yes. You are absolutely correct. Kindly do something and it should reflect in my account by today evening. what I can hold  I will raise a customer care raise a complaint against Ok. because my I told them and it was raised that by sixth end of the day that  ###PM. you will receive the amount in your account now it is 14 October. which is very very rare. really regret that you're facing this issue प्रजापति. Sorry for the inconvenience caused you, but as the already the refund has been completed. So there possibilities at any moment you will get the refund in your source account. This is the only the maximum time frame which I have you tell me net banking or maybe if I make a UPI payment directly in fact it comes to my account or deducted You can same while sending the amount why it is going to take 14. But the amount has been already calculated or already transferred. how it will reflect till 14. regarding somebody sending some  amount to anybody account. It should reflect within an hour or maximum Yes. You are absolutely correct at your point प्रकार for that, I would like to inform you, yes you are right that if the refund has been initiated it should be refunded immediately within 1 or 2 or So  I would like to inform you we have the feature that is called instant refund Right? So in that if you add your seeing an UPI account there you will get the refund within 3 to 4 hours. I can see that that was not added and systematic all all the things are happening. So automatically it was fresh that the instant refund account was not added that is the reason now you are receiving your refund in your source account. But if that account but  now you tell me it is the duty of the customer service to tell me that you have to add your UPI Yes, you are I would have added that there and there on the third when I called  the customer service. I could have given them the UPI number or whichever the formality in our system I would have done Yes I understand प्रसाद would like to inform you when the refund has been initiated you will get the notification that to set up your instant refund account. So did you get the information on your WhatsApp or message? I got it. Yeah. I got it. I have touch it   yes yes also because already it is install my system yes, it is been initiated. Yes. Yes, I remember There was a link which you said initiate refund. I why that was not considered. I really sorry for the inconvenience caused to  but as the instant refund account was not added that is the reason now you are receiving your refund in your source account but this is the maximum time frame  as I tell because this refund is completed from Cred. at any moment you will get the refund in your source account. I request you to please wait for this maximum time frame प्रजापति. Yes, am I audible? I am I can hear you with don't know how to wait till I understand your situation for the same I believe you will receive the refund as soon as possible because this is the only maximum time frame प्रजा So is there anything else apart from this  I can assist you? No. I will not use  services anymore. That is that the concern credit has last  customer ok. Really sorry for the inconvenience caused to रजत and I'll take your words as a feedback and definitely try to improve our services as well. So before we end this call  may I request you to share your valuable feedback basis on our conversation. I was Alright. No issue. Thank you. If you need any assistance in future, don't hesitate to reach out to us. We will be more than happy to assist you. Thank you for choosing Cred. Hope you have a great day ahead. Thank Ok nan"
ccbe8e52-e722-4e07-ae5d-911deecc74ba,"Good morning, साकिब this side I'm here to assist you today. Am I speaking with जगदीश? Yeah. Hi, good morning. you for the name confirmation जगदीश. I can see that you raised the concern for your insurance payment which you  towards HDFC Life Insurance. of amount 1 lakh ###rupees. this  credit balance that you used of 5 rupees you paid the amount on fourth of October from the HDFC Bank account ending with ###. are using the mode of  UPI. and गणेश as far as I can see from my that your payment you have made 2 attempts May I exactly know how many times your amount is debited I made only 1 attempt and it was debited and currently, it failed. I'm looking for a refund. nan credited into my bank account Ok, जगदीश. So I do understand your concern very कल. Thank you for rating rating your concern. I really apologize for the inconvenience that you have faced on the credit application. I will surely try my best to help you. And as   I can see that your transaction was also complete almost completed from our end. But at the very last moment, the transaction got failed due to some technical issue or may be due to some connectivity issues गणेश and as per as I can see from my end that the refund is also initiated from our end. Ok? towards the source account from where you just make the payment as IDFC Bank ending with 20 25. It is completed from our end. But to reflect in your bank account. It will take transaction plus 5 to 7 working days. to reflect in your banking account. Ok? Why is it that Actually, make  too much right? Yes, I do understand that it's too much for but I would like to inform you that  the standard timeline as per the banking So whatever transaction,   third party do it takes transaction to 5 to 7 working days to reflect on your bank Even that some time, even from our end, I can see on fifth of October itself. The refund is completed. that we have initiated the amount and it is completed from our end. It has reached to bank but it takes transaction of 5 to 7 working days to reflect which is the maximum time frame जगदीश. It may happen that it will reflect soon. or I would like to inform you also the transaction for 5 to 7 working days does not co the second Saturday, Sundays and the bank holidays, on fourth Saturday, that's why it is taking fourteenth of October at the maximum timeline. Ok. If Yes, fourteenth of October. Ok. Which is the maximum time frame जगदीश. If your refund is not received by you till fourteenth of October. After that, you can always raise a call me back request that you haven't received any kind of refund. We will surely assist you with that. Ok, is there any way to expire it I really apologize जगदीश. but the refund has been completed from our end and now it's depending on the bank end. It is transaction plus 5 to 7 working Just   to reflect over there. you can connect with your bank with today to find about the refund. after the 7 hours to the 7 days  to be completed. If still you haven't received any kind of refund. You can connect with your bank and request  to check you are you have got any kind of refund Ok fine. So from your side, you cannot help me  that Yes. from our end जगदीश. the most we have done is the refund is completed from our end. Ok जगदीश. So anything else I can help you related to credit apart from Ok, जगदीश. Then may I please request your valuable feedback? This is based on the conversation that we you so much. I'll be transferring your call to our IVR feedback over there you can rate between 5 to 1, 5 being excellent and 1 being poor. Ok? you for choosing. Have a great day. We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. Please press the number on your dial pack to rate. You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
