conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type2b_conv_0,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:54:11.222163,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name in the initial greeting.,7888,11266,3.467,3.466,2029,2055,4084,11266,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_1,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:54:22.127176,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation. The agent only confirmed the customer's name after the conversation started.,2717,6195,9.894,9.893,1015,1053,2068,6195,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_2,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:54:30.882099,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation. The agent said 'morning. This is रिया.' instead of 'Good morning. This is <name>.',2994,6434,7.748,7.747,1107,1140,2247,6434,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_3,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:55:06.259611,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation.,3693,7050,34.366,34.365,1244,1263,2507,7050,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_4,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:55:41.847409,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not provide their name and only confirmed the customer's name with 'Is this गोविंद?'.,6232,9930,34.585,34.584,1815,1904,3719,9930,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_5,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:56:12.800414,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not provide their name and only confirmed the customer's name with 'Is this गोविंद?'.,1015,5129,29.943,29.942,699,951,1650,5129,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_6,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:56:20.142565,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not introduce themselves with their name at the beginning of the conversation.,1506,4863,6.33,6.329,787,806,1593,4863,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_7,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:56:32.297003,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent introduced themselves as 'Good morning. This side ऋषिता I assist you today.' and confirmed the customer's name with 'Am I speaking with साकिब?',3959,7387,11.144,11.144,1288,1319,2607,7387,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_8,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:56:41.955954,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,The agent introduced themselves with 'जी. 1: जी ma'am sure से बात कर रहे हैं ma'am.' and confirmed the customer's name with 'नन'.,4722,8112,8.645,8.645,1513,1539,3052,8112,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_9,type2b,OPENING,Opening,Server5_Base_Mistral,2025-10-11T16:56:49.772021,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,"The agent introduced themselves as 'Good morning, this is गुप्ता here to assist you today.' and confirmed the customer's name with 'Am I speaking with रजत?'",6378,9796,6.804,6.804,1715,1744,3459,9796,0.1,512,Token counts are estimates (API doesn't provide exact counts)
