conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,api_temperature,api_max_tokens,api_endpoint,model_version,success,result_value,evidence,transcript_length,response_length,total_latency,latency_seconds,prompt_tokens_estimate,completion_tokens_estimate,total_tokens_estimate,response_length_chars,temperature,max_new_tokens,note
type2b_conv_0,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:13:09.820544,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,7888,12362,27.733,27.732,1968,2337,4305,12362,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_1,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:13:38.696579,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to put the call on hold.,2717,5607,27.866,27.866,954,984,1938,5607,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_2,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:14:08.905738,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent asked the customer to wait and provided updates on the issue.",2994,5930,29.197,29.196,1046,1083,2129,5930,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_3,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:14:43.514373,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,can I please put your call on hold for a minute?,3693,6501,33.601,33.6,1183,1197,2380,6501,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_4,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:14:53.203848,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent continued the conversation without any indication of placing the call on hold.",6232,9233,8.679,8.678,1754,1799,3553,9233,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_5,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:15:46.373558,0.1,512,http://27.111.72.51:8000/generate,N/A,False,Parse Error,Failed to parse JSON,1015,4720,52.163,52.163,638,891,1529,4720,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_6,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:15:49.326754,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to put the call on hold.,1506,4347,1.95,1.949,726,746,1472,4347,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_7,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:15:53.661389,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements for putting the call on hold. Instead, the agent discussed the issue at hand and provided information to the customer.",3959,6908,3.327,3.326,1227,1264,2491,6908,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_8,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:15:57.814004,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,The agent did not use any of the provided statements to put the call on hold.,4722,7563,3.148,3.148,1452,1472,2924,7563,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_9,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:16:02.081006,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the conversation continued without any indication of the call being placed on hold.",6378,9313,3.255,3.254,1654,1688,3342,9313,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_10,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:16:06.051282,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent provided information about the refund status and requested feedback.",4051,6980,2.958,2.957,1226,1258,2484,6980,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_11,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:16:09.632843,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Met,May I please place your call on hold for a moment to check on this?,3420,6266,2.571,2.571,1131,1153,2284,6266,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_12,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:16:14.651841,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the conversation continued without any indication of the call being placed on hold.",2903,5886,4.007,4.006,1063,1108,2171,5886,0.1,512,Token counts are estimates (API doesn't provide exact counts)
type2b_conv_13,type2b,HOLD,Hold,Server5_Base_Mistral,2025-10-11T17:16:19.772141,0.1,512,http://27.111.72.51:8000/generate,N/A,True,Not Met,"The agent did not use any of the provided statements to put the call on hold. Instead, the agent continued the conversation without any indication of placing the call on hold.",4061,7054,4.108,4.107,1232,1278,2510,7054,0.1,512,Token counts are estimates (API doesn't provide exact counts)
